order_id,order_date,year,month,region,state,customer_id,customer_age,customer_income,customer_segment,product_category,sales_channel,payment_method,unit_price,quantity,discount_rate,shipping_cost,sales_amount,profit,profit_margin,customer_rating,return_flag,delivery_days,marketing_spend,ad_clicks,website_visits,employee_id
36,2023-08-12,2023,8,West,CA,103291,46,18295.23,Retiree,Sports,Third Party,Debit Card,33.23,2,0.092,2.19,62.54,8.9,0.142,3.9,0,5,67.58,9,25,1010
37,2022-05-19,2022,5,Midwest,OH,119171,28,63626.0,Student,Clothing,Online,Gift Card,89.88,5,0.045,17.55,446.73,94.3,0.211,4.3,0,3,37.34,4,18,1006
38,2025-03-14,2025,3,Northeast,CT,128561,48,66768.73,Student,Furniture, Mobile App ,Credit Card,648.48,7,0.078,6.49,4191.78,1043.67,0.249,3.1,0,2,116.89,21,35,1131
39,2023-08-15,2023,8,South,TX,100861,48,19383.78,Family,Electronics,Online,Credit Card,330.32,5,0.068,,1552.78,523.68,0.337,5.0,0,2,40.11,5,19,1053
40,2022-07-08,2022,7,Midwest,WI,122115,24,49994.49,Business,Furniture,In Store,Credit Card,257.78,3,0.013,1.79,765.08,255.87,0.334,4.0,0,0,60.71,8,30,1048
41,2025-07-12,2025,7,Northeast,NY,103530,39,69099.23,Business,Furniture,In Store,PayPal,619.22,1,0.093,0.0,561.63,118.77,0.211,4.3,0,0,39.95,6,13,1119
42,2024-11-14,2024,11,South,FL,115229,33,28856.17,Family,Groceries,In Store,Credit Card,58.8,6,0.055,1.73,335.13,67.49,0.201,5.0,0,0,23.75,1,22,1034
43,2023-10-13,2023,10,Northeast,NJ,104649,62,51541.83,Business,Furniture,Online,PayPal,1311.22,3,0.046,0.0,3752.71,1212.48,0.323,3.3,0,5,27.77,2,25,1039
44,2021-11-27,2021,11,West,WA,105157,34,92480.06,Young Professional,Furniture,Mobile App,Credit Card,523.04,5,0.017,3.74,2574.48,690.46,0.268,2.7,0,3,62.69,5,16,1003
45,2024-09-13,2024,9,Midwest,IL,111645,33,38903.7,Young Professional,Clothing,Online,Debit Card,57.14,2,0.23,4.68,92.68,27.48,0.297,4.0,0,3,32.27,1,14,1098
46,2023-06-22,2023,6,South,GA,112742,27,30570.44,Family,Groceries,In Store,Credit Card,11.7,3,0.007,0.68,35.53,8.02,0.226,5.0,0,0,17.53,1,16,1092
47,2025-05-01,2025,5,Midwest,MN,129284,43,62786.71,Young Professional,Clothing,Mobile App,Credit Card,19.04,4,0.064,16.2,87.49,21.8,0.249,3.7,0,3,51.58,8,20,1044
48,2021-08-18,2021,8,South,VA,113871,55,78779.3,Family,Beauty,In Store,Credit Card,42.35,3,0.039,1.04,123.14,24.42,0.198,4.1,0,0,130.73,24,34,1056
49,2025-12-30,2025,12,South,GA,125636,38,32729.9,Family,Clothing,In Store,Credit Card,45.62,3,0.1,5.41,128.58,22.93,0.178,5.0,0,0,6.81,1,19,1098
50,2022-12-26,2022,12,Northeast,PA,114278,33,85838.76,Retiree,Sports,Third Party,,123.54,4,0.115,3.68,441.01,201.49,0.457,3.8,0,3,126.04,15,40,1074
51,2022-02-28,2022,2,West,OR,107784,19,31326.29,Retiree,Clothing,Online,Credit Card,29.75,3,0.028,16.96,103.71,16.44,0.159,3.5,0,7,82.84,7,25,1130
52,2023-09-09,2023,9,South,FL,107530,25,45495.59,Business,Sports,Online,Cash,127.97,4,0.074,6.53,480.53,103.52,0.215,4.0,0,7,34.87,5,17,1130
53,2024-11-21,2024,11,West,AZ,112207,18,25276.59,Business,Sports,In Store,Credit Card,101.05,3,0.043,1.58,291.69,26.99,0.093,3.9,0,0,61.92,7,22,1105
54,2025-10-20,2025,10,West,OR,128337,55,52121.73,Family,Beauty,Online,Cash,110.71,5,0.063,10.5,529.18,122.7,0.232,4.5,0,3,46.2,6,27,1087
55,2024-05-29,2024,5,South,FL,119814,46,41081.98,Family,Groceries,Third Party,Debit Card,32.46,4,0.193,3.89,108.67,35.66,0.328,3.6,0,4,36.31,5,28,1125
56,2023-09-06,2023,9,West,CA,124348,24,43807.99,Young Professional,Groceries,In Store,Cash,70.36,4,0.207,0.31,223.49,60.37,0.27,4.4,1,0,22.56,2,17,1061
57,2025-07-20,2025,7,Northeast,NY,112286,65,125502.01,Business,Electronics,Mobile App,Credit Card,357.82,4,0.06,10.01,1355.41,422.63,0.312,2.8,0,1,36.25,5,25,1134
58,2022-01-31,2022,1,Northeast,PA,107030,50,51682.71,Family,Furniture,In Store,Credit Card,1138.97,3,0.239,,2607.78,950.15,0.364,2.1,0,0,34.14,8,27,1036
59,2022-02-26,2022,2,Northeast,NY,106508,49,67352.99,Young Professional,Clothing,Online,Credit Card,51.81,5,0.091,9.71,245.19,59.24,0.242,4.3,0,5,58.97,4,23,1018
60,2025-03-24,2025,3,Midwest,MI,115064,22,77493.62,Business,Electronics,In Store,PayPal,344.21,2,0.11,5.12,617.81,133.84,0.217,3.4,1,0,72.91,6,27,1026
61,2025-09-12,2025,9,Midwest,IL,119043,30,15205.72,Student,Sports,In Store,Gift Card,185.67,2,0.081,0.0,341.26,84.95,0.249,4.0,0,0,38.39,3,18,1037
62,2023-05-23,2023,5,Midwest,IL,111336,61,38898.8,Retiree,Furniture,Online,Credit Card,433.17,3,0.13,9.88,1140.45,122.46,0.107,4.6,0,8,106.27,12,26,1017
63,2025-04-23,2025,4,West,AZ,114027,26,94160.5,Retiree,Electronics,Mobile App,Debit Card,393.3,3,0.134,5.37,1027.16,508.9,0.495,4.6,0,10,49.78,5,22,1021
64,2022-12-14,2022,12,Midwest,WI,120630,18,103732.33,Business,Books,Mobile App,Credit Card,52.97,1,0.064,4.74,54.32,17.89,0.329,3.9,0,8,33.23,2,21,1005
65,2023-05-28,2023,5,Midwest,IL,103006,46,65649.1,Student,Electronics,In Store,Debit Card,161.05,3,0.075,4.73,451.64,144.65,0.32,3.0,0,0,32.71,3,24,1053
66,2023-12-22,2023,12,South,NC,122678,32,33500.95,Family,Beauty,Online,Credit Card,14.84,2,0.057,9.32,37.31,13.63,0.365,4.2,0,6,25.37,3,18,1012
67,2023-03-16,2023,3,Northeast,PA,102586,42,98955.66,Family,Electronics,Online,Credit Card,466.54,6,0.059,23.37,2657.45,965.8,0.363,5.0,0,10,19.42,1,15,1055
68,2023-09-26,2023,9,West,CO,109871,42,67140.74,Student,Clothing,In Store,Debit Card,49.39,1,0.046,,47.12,11.77,0.25,5.0,1,0,51.56,9,23,1085
69,2023-05-30,2023,5,Northeast,PA,107958,37,,Young Professional,Furniture,In Store,Credit Card,699.84,3,0.121,5.27,1850.75,574.98,0.311,2.9,0,0,41.25,2,13,1019
70,2023-01-09,2023,1,West,AZ,123283,57,59536.64,Business,Clothing,Online,Debit Card,32.69,6,0.131,8.3,178.75,80.39,0.45,,0,3,146.85,15,26,1000
71,2025-11-01,2025,11,South,FL,123709,50,54894.27,Business,Clothing,Online,Debit Card,26.35,2,0.08,11.27,59.75,23.81,0.399,5.0,0,8,14.81,0,15,1044
72,2021-03-17,2021,3,Northeast,NY,127943,18,25666.18,Student,Beauty,Mobile App,Debit Card,71.15,3,0.032,8.5,215.12,44.42,0.207,3.6,0,3,10.87,5,16,1077
73,2023-06-15,2023,6,Northeast,NJ,109944,38,48015.05,Business,Groceries,Mobile App,Credit Card,12.91,3,0.118,,48.0,12.78,0.266,3.2,0,5,47.45,4,12,1028
74,2024-07-24,2024,7,West,AZ,119109,32,63026.99,Retiree,Groceries,Third Party,Credit Card,41.52,3,0.218,0.0,97.41,39.14,0.402,4.5,0,2,38.3,4,18,1120
75,2025-03-07,2025,3,South,NC,103864,60,56038.4,Retiree,Clothing,Mobile App,Cash,36.06,1,0.034,3.72,38.55,14.73,0.382,4.6,0,4,99.3,11,31,1072
76,2025-05-26,2025,5,South,GA,117727,33,80256.8,Student,Electronics,In Store,Credit Card,756.19,3,0.099,3.81,2047.79,600.81,0.293,3.5,0,0,40.15,2,20,1100
77,2024-05-22,2024,5,South,TX,120360,37,,Business,Groceries,Online,Debit Card,50.88,4,0.033,24.85,221.65,47.61,0.215,3.5,0,1,85.54,9,28,1106
78,2023-05-24,2023,5,Northeast,CT,113370,39,42124.8,Student,Furniture,In Store,Credit Card,287.1,2,0.049,4.71,550.77,163.45,0.297,3.8,0,0,97.45,9,20,1039
79,2024-09-05,2024,9,Midwest,WI,108868,43,36010.68,Young Professional,Furniture,In Store,Credit Card,652.04,3,0.093,1.01,1775.21,443.12,0.25,4.0,0,0,29.05,5,20,1030
80,2025-02-18,2025,2,Northeast,MA,108193,23,85586.39,Young Professional,Beauty,In Store,Credit Card,18.5,4,0.102,3.01,69.46,23.01,0.331,4.2,0,0,48.27,4,11,1059
81,2021-01-22,2021,1,West,CA,124364,42,59067.39,Family,Furniture,Online,Credit Card,1024.81,2,0.26,13.64,1530.36,406.23,0.265,3.0,0,5,19.65,0,12,1095
82,2025-06-27,2025,6,South,VA,116407,35,50813.33,Retiree,Beauty,Online,Credit Card,51.14,1,0.069,14.59,62.2,20.26,0.326,4.3,0,4,59.87,12,23,1137
83,2023-06-25,2023,6,Midwest,OH,109268,23,23254.18,Young Professional,Beauty,Mobile App,Debit Card,103.93,4,0.076,7.54,391.67,83.5,0.213,3.8,0,5,35.67,3,18,1088
84,2022-08-28,2022,8,Northeast,CT,101307,29,34572.02,Student,Electronics,Online,Cash,302.41,1,0.113,13.74,281.98,85.19,0.302,5.0,0,5,20.99,4,24,1018
85,2021-01-20,2021,1,Midwest,MN,118714,38,23839.25,Business,Furniture,Mobile App,,880.22,2,0.058,10.83,1669.16,222.61,0.133,3.9,0,4,93.77,16,37,1138
86,2022-10-07,2022,10,Midwest,IL,100704,62,90462.47,Business,Groceries,Online,Credit Card,37.96,4,0.499,,84.24,25.5,0.303,4.0,0,6,19.8,5,16,1075
87,2024-08-05,2024,8,South,GA,127435,18,45249.93,Retiree,Books,Mobile App,Debit Card,65.64,3,0.42,12.98,127.19,26.89,0.211,2.8,0,6,62.5,4,28,1112
88,2025-07-23,2025,7,South,FL,113423,26,51002.65,Family,Clothing,Online,PayPal,38.96,2,0.112,6.47,75.66,12.15,0.161,4.2,0,3,20.9,7,18,1029
89,2025-01-03,2025,1,West,AZ,110111,34,64530.25,Family,Sports,In Store,Debit Card,123.05,3,0.179,0.0,303.07,117.3,0.387,4.7,0,0,77.31,10,30,1108
90,2023-07-07,2023,7,South,VA,107947,41,20758.61,Student,Sports,Mobile App,Credit Card,131.54,3,0.166,7.82,336.93,96.22,0.286,4.9,0,7,26.4,6,19,1087
91,2025-10-19,2025,10,Northeast,MA,116185,18,51742.85,Family,Clothing,In Store,Credit Card,12.56,4,0.336,,33.36,11.0,0.33,3.8,0,0,10.58,3,16,1100
92,2023-11-03,2023,11,South,TX,112848,28,38613.19,Business,Books,In Store,Debit Card,87.88,2,0.077,0.6,162.83,58.53,0.359,4.4,0,0,34.44,6,17,1147
93,2022-01-26,2022,1,South,FL,126550,35,49847.31,Young Professional,Electronics,Third Party,Cash,203.15,3,0.109,4.75,547.77,100.1,0.183,5.0,0,3,71.42,11,28,1014
94,2021-05-07,2021,5,South,NC,110449,50,43385.78,Family,Furniture,Third Party,PayPal,966.4,2,0.082,4.74,1779.05,511.58,0.288,4.1,1,5,64.52,6,18,1034
95,2025-01-12,2025,1,South,NC,115048,20,40051.29,Family,Groceries,Mobile App,Cash,33.18,3,0.277,4.26,76.23,18.33,0.24,5.0,0,6,45.05,8,29,1035
96,2021-09-21,2021,9,South,TX,110948,44,46638.44,Business,Electronics,Online,PayPal,490.38,2,0.155,14.7,843.44,241.19,0.286,4.6,0,4,103.14,12,32,1018
97,2025-12-01,2025,12,South,FL,121093,50,28826.34,Retiree,Sports,Online,Credit Card,15.08,3,0.159,3.31,41.36,9.06,0.219,4.6,0,6,25.1,4,13,1003
98,2024-03-26,2024,3,Midwest,MI,122393,21,,Student,FURNITURE,Online,Debit Card,346.01,5,0.145,12.34,1491.53,480.98,0.322,3.8,0,4,40.47,4,27,1041
99,2024-04-22,2024,4,Northeast,PA,107919,33,21711.54,Retiree,BOOKS,Mobile App,Credit Card,9.0,3,0.054,8.75,34.29,9.23,0.269,4.1,0,7,52.08,3,13,1100
100,2022-07-12,2022,7,Northeast,CT,115564,22,19071.69,Retiree,Books,In Store,,16.38,1,0.045,2.72,18.36,5.62,0.306,5.0,0,0,48.64,5,18,1115
101,2023-03-25,2023,3,Northeast,CT,121638,41,78058.42,Business,Beauty,In Store,Debit Card,47.23,4,0.192,3.98,156.63,33.8,0.216,4.5,0,0,16.27,1,11,1101
102,2022-03-07,2022,3,South,FL,107046,35,45045.11,Young Professional,Groceries,Third Party,Credit Card,112.98,8,0.191,2.98,734.19,228.05,0.311,4.0,0,5,31.78,3,20,1052
103,2021-10-19,2021,10,Midwest,MN,103515,24,32772.99,Business,Groceries,Mobile App,Gift Card,23.17,3,0.091,7.16,70.34,30.25,0.43,3.6,0,5,92.78,13,35,1134
104,2021-07-05,2021,7,South,NC,112430,40,,Retiree,Beauty,Online,Debit Card,55.18,5,0.112,13.53,258.53,81.14,0.314,4.5,0,3,47.9,2,12,1050
105,2025-08-31,2025,8,West,CA,109197,55,64837.8,Young Professional,Sports,Online,Debit Card,45.63,3,0.13,15.25,134.34,46.24,0.344,3.1,0,7,35.58,4,17,1078
106,2025-09-25,2025,9,Midwest,MN,128141,45,25499.28,Retiree,Beauty,In Store,Credit Card,105.93,2,0.24,0.0,161.01,75.71,0.47,4.2,0,0,16.12,2,12,1050
107,2025-03-17,2025,3,Midwest,MI,115350,67,72525.27,Family,Sports,Mobile App,Credit Card,36.46,2,0.02,4.7,76.16,28.41,0.373,3.1,0,8,88.2,15,29,1114
108,2021-12-08,2021,12,South,NC,121255,30,81682.4,Young Professional,Furniture,In Store,PayPal,353.35,2,0.175,2.32,585.35,118.29,0.202,3.7,0,0,18.81,1,15,1109
109,2022-01-08,2022,1,Midwest,MI,127396,18,31732.86,Young Professional,Sports,Online,Credit Card,107.62,4,0.237,,344.64,144.72,0.42,3.5,0,4,48.67,9,26,1130
110,2021-07-28,2021,7,Northeast,CT,110157,32,53043.5,Business,Electronics,Online,Debit Card,227.0,3,0.197,4.24,551.08,204.86,0.372,4.0,0,7,30.5,6,23,1009
111,2021-01-22,2021,1,Midwest,MN,100158,55,37747.65,Family,Electronics,Online,Credit Card,205.54,3,0.034,12.68,608.33,114.07,0.188,3.9,0,4,25.08,5,16,1027
112,2021-03-22,2021,3,Northeast,NJ,118823,23,33702.54,Family,Groceries,Online,Gift Card,80.51,4,0.031,9.73,321.79,83.2,0.259,3.4,0,5,32.32,4,13,1023
113,2025-05-10,2025,5,West,OR,118174,43,29198.7,Family,Clothing,Mobile App,PayPal,88.03,4,0.037,10.74,349.83,45.5,0.13,4.6,0,4,61.46,6,19,1084
114,2022-11-10,2022,11,West,CA,112213,31,16963.87,Family,Clothing,Online,Debit Card,72.67,2,0.366,14.21,106.36,56.63,0.532,3.7,0,3,35.81,5,17,1116
115,2021-01-21,2021,1,South,TX,113673,38,40865.45,Business,Electronics,Online,Debit Card,451.47,4,0.493,8.07,923.65,311.64,0.337,4.8,0,6,55.85,7,22,1009
116,2024-02-17,2024,2,West,AZ,128460,51,79947.47,Young Professional,Clothing,Mobile App,Credit Card,14.6,5,0.244,5.15,60.34,11.77,0.195,4.8,0,4,27.91,2,20,1120
117,2024-10-13,2024,10,West,CO,104214,30,33133.69,Young Professional,Beauty,Mobile App,PayPal,102.06,2,0.042,8.15,203.7,85.54,0.42,4.2,0,6,40.16,5,22,1099
118,2021-04-17,2021,4,Northeast,NJ,125658,34,40427.93,Student,Sports,In Store,PayPal,94.6,3,0.033,1.05,275.48,86.64,0.315,4.6,0,0,95.24,8,24,1012
119,2022-10-24,2022,10,West,OR,116895,41,79929.63,Family,Clothing,Online,Debit Card,177.61,4,0.151,18.37,621.53,161.2,0.259,4.7,0,8,29.47,5,16,1106
120,2025-09-05,2025,9,South,TX,128351,45,50984.49,Student,Electronics,In Store,Debit Card,145.73,2,0.133,4.59,257.29,55.93,0.217,5.0,0,0,8.66,1,15,1116
121,2024-03-07,2024,3,West,CO,105837,27,44720.43,Family,Electronics,Online,Credit Card,907.79,5,0.137,15.13,3932.24,1243.38,0.316,3.6,1,4,24.39,3,18,1015
122,2024-10-28,2024,10,West,OR,101269,44,75204.76,Student,Furniture,In Store,Credit Card,249.23,3,0.211,0.0,589.93,245.57,0.416,4.7,1,0,44.88,5,20,1133
123,2025-05-26,2025,5,Midwest,IL,120564,22,54545.02,Retiree,Sports,Mobile App,Cash,102.84,5,0.181,14.92,436.05,56.4,0.129,3.2,0,3,26.78,3,19,1126
124,2024-07-05,2024,7,Northeast,NY,108395,18,33882.33,Retiree,Furniture,Third Party,Debit Card,693.82,4,0.066,0.0,2592.11,832.59,0.321,2.4,0,3,30.77,2,20,1059
125,2022-12-19,2022,12,Midwest,OH,112479,34,42632.1,Business,Electronics,Online,Cash,57.72,4,0.16,12.68,206.62,27.29,0.132,3.8,1,7,34.81,3,19,1067
126,2025-10-23,2025,10,Midwest,MN,124536,43,52946.53,Young Professional,Groceries,In Store,Debit Card,33.03,1,0.132,1.45,30.12,6.04,0.2,4.5,0,0,21.43,1,16,1053
127,2023-02-20,2023,2,West,AZ,126531,47,62476.75,Young Professional,Electronics,In Store,PayPal,64.12,5,0.027,2.84,314.78,95.61,0.304,3.7,0,0,32.08,2,10,1047
128,2025-08-31,2025,8,West,WA,102555,53,28803.85,Young Professional,Electronics,Online,Credit Card,345.24,3,0.283,10.31,752.92,169.28,0.225,4.0,0,2,107.06,10,32,1118
129,2022-04-27,2022,4,Northeast,NY,123533,51,59499.26,Family,Clothing,Online,Cash,84.62,3,0.032,13.52,259.26,72.75,0.281,2.3,1,2,22.93,2,17,1079
130,2023-06-26,2023,6,South,VA,116932,52,43394.12,Family,Sports,Third Party,PayPal,264.9,6,0.101,1.73,1430.6,478.55,0.335,3.9,0,6,106.06,11,27,1007
131,2023-09-10,2023,9,Midwest,MN,110319,23,33868.08,Business,Sports,Third Party,PayPal,123.06,6,0.283,0.0,529.4,175.44,0.331,4.8,0,5,36.61,7,21,1135
132,2025-01-04,2025,1,Midwest,OH,101902,55,93681.83,Young Professional,BEAUTY,Online,Credit Card,85.4,4,0.011,12.55,350.39,109.12,0.311,4.4,1,5,51.52,9,21,1003
133,2024-03-23,2024,3,Northeast,PA,125458,64,26312.71,Business,Electronics,Online,PayPal,963.35,5,0.421,16.43,2805.33,439.7,0.157,3.8,0,1,57.24,8,29,1148
134,2023-07-14,2023,7,Midwest,MI,100963,32,90820.26,Retiree,Clothing,In Store,Cash,52.86,6,0.01,0.0,313.99,55.57,0.177,5.0,0,0,72.09,6,21,1025
135,2023-04-04,2023,4,West,AZ,100537,23,32966.68,Student,Furniture,Online,Credit Card,185.87,3,0.063,12.34,534.82,92.28,0.173,4.3,0,2,54.9,14,35,1070
136,2022-09-25,2022,9,Midwest,MN,127989,39,76926.16,Family,Electronics,Online,Credit Card,323.1,1,0.13,6.47,287.57,81.34,0.283,,0,4,6.39,1,12,1145
137,2021-02-25,2021,2,South,FL,100168,46,91605.08,Family,Beauty,Online,PayPal,42.83,3,0.368,12.98,94.19,14.82,0.157,3.1,0,6,27.43,1,20,1092
138,2023-06-04,2023,6,South,TX,105180,29,55853.67,Family,Furniture,Mobile App,Credit Card,337.87,5,,2.0,1503.83,509.48,0.339,,0,3,34.58,2,21,1143
139,2024-01-19,2024,1,Midwest,MI,117684,63,74812.49,Retiree,Books,Mobile App,Debit Card,11.68,4,0.133,20.08,60.59,7.23,0.119,3.5,0,6,26.57,7,28,1033
140,2024-12-29,2024,12,West,WA,122629,18,55380.83,Young Professional,Sports,Online,Credit Card,71.98,3,0.141,10.69,196.18,60.23,0.307,4.6,1,7,53.37,5,19,1093
141,2025-04-23,2025,4,West,AZ,106878,30,33882.12,Family,Sports,In Store,Credit Card,33.97,1,0.323,3.99,26.99,8.31,0.308,5.0,0,0,57.88,6,20,1018
142,2024-06-22,2024,6,Midwest,WI,105140,33,16760.48,Young Professional,Beauty,Online,Debit Card,192.96,3,0.123,9.68,517.36,110.23,0.213,3.7,0,7,79.72,10,22,1059
143,2025-12-11,2025,12,South,VA,124789,34,85408.85,Retiree,Furniture,Online,Credit Card,1073.36,5,0.137,11.88,4643.43,1727.54,0.372,3.2,0,7,39.47,6,19,1129
144,2021-07-17,2021,7,Midwest,WI,105694,48,62387.65,Business,Furniture,Online,Credit Card,492.42,3,0.019,23.27,1472.46,554.46,0.377,5.0,0,7,46.81,6,20,1071
145,2022-01-16,2022,1,Midwest,WI,108303,42,35693.27,Student,Furniture,Third Party,Debit Card,1822.62,2,0.175,0.41,3007.73,911.23,0.303,3.3,0,3,66.07,6,19,1109
146,2025-04-30,2025,4,Northeast,PA,109400,45,57272.79,Family,Groceries,Online,,76.47,5,0.082,6.65,357.65,174.47,0.488,5.0,0,5,37.16,5,22,1058
